idx,n_heur,n_llm,exact_overlap,precision,recall,f1,precision_sub,recall_sub,f1_sub,heur_aspects,llm_aspects
76180,14,5,2,0.143,0.4,0.211,0.286,0.6,0.387,bite|block|bug|censorship|comment|developer|facebook's side|functional lot|interface|issue|not at all vulgar|source nice interface|ui|ultimate judgment,censorship|comments|dark mode|interface|search bar
76564,3,1,1,0.333,1.0,0.5,0.333,1.0,0.5,magic effect|new update|update,magic effect
77743,13,6,1,0.077,0.167,0.105,0.385,0.333,0.357,car|car request|cheater|destination|digit> min|own car|pickup|place|reach destination|request|thrice|time|ui,car request|dark mode|pickup time|search bar|settings|uber
78471,7,3,1,0.143,0.333,0.2,0.143,0.333,0.2,all exam|app name|dlb infotech|educational app|free online test|malware|online,dark mode|malware|search bar
78624,1,1,0,0.0,0.0,0,0.0,0.0,0,ad,more graphic
78788,7,7,4,0.571,0.571,0.571,0.714,0.714,0.714,ad|background|effect|more option|opacity animation|suggestion|text stiker,background|blend|burn effect|more option|opacity animation|pan|text stiker
79268,1,2,0,0.0,0.0,0,0.0,0.0,0,most thing,improve performance|more features
79349,5,5,0,0.0,0.0,0,0.4,0.4,0.4,day|excessive notification|few week|multiple time|notification,dark mode|excessive notifications|hour|notifications|search bar
79413,10,5,1,0.1,0.2,0.133,0.1,0.2,0.133,ad|creation|devs|good thing|its inception|new ui|option|ui|whole app|work,lock|replica|share|social medium|ui
79713,8,6,1,0.125,0.167,0.143,0.25,0.333,0.286,account|ad|frame|its suddenlly error|login|new frame|old acc reallyy|same time,dark mode|frame download|login|register|search bar|settings
79914,4,3,0,0.0,0.0,0,0.25,0.333,0.286,battery|great clean app|more power|their battery saver,battery usage|dark mode|search bar
79967,11,6,3,0.273,0.5,0.353,0.364,0.5,0.421,ad|delete download app|main website|network error|problem|sell|stuff|such <user> shame|ton|user|website,convenience|dark mode|main website|network error|search bar|sell
80168,4,3,0,0.0,0.0,0,0.25,0.333,0.286,bbm|image|image or it|nightmare,dark mode|emojis|image sharing
80740,2,3,1,0.5,0.333,0.4,1.0,0.667,0.8,group suck|vids,gifs|group|vids
81362,10,4,2,0.2,0.5,0.286,0.7,0.75,0.724,ad|advertisement|advertisement app|lag|photo|photo collage|recent update|ui|update|use,advertisement|intuitive|photo collage maker|recent update
81824,11,4,2,0.182,0.5,0.267,0.636,1.0,0.778,ad|another update|easy way|feature|feed|feedback|filter|issue|new feature new filter|oil paint|update,feedback|new filter|oil paint filter|update
82597,2,1,0,0.0,0.0,0,1.0,1.0,1.0,picture|size,picture size
83267,6,6,1,0.167,0.167,0.167,0.667,0.5,0.571,article|lag|phone|phone space|waste|whole phone,article update|dark mode|phone lag|phone space|search bar|uninstall
83327,1,1,0,0.0,0.0,0,0.0,0.0,0,very slow app,speed
83432,3,5,2,0.667,0.4,0.5,0.667,0.4,0.5,feature|variety|video,dark mode|feature|pic|search bar|video
83747,2,1,1,0.5,1.0,0.667,0.5,1.0,0.667,battery|pokemon,battery
84076,10,4,1,0.1,0.25,0.143,0.3,0.5,0.375,antivirus scan|benefit|every phone|lg stylo|no change|notification|notification bar symbol|phone|resolve|version,antivirus scan|dark mode|notification bar|search bar
84672,8,4,0,0.0,0.0,0,0.125,0.25,0.167,new song|other app|pause song|player|request|song|uc <app> player|video,dark mode|pause function|search bar|song playback
84745,3,3,0,0.0,0.0,0,0.667,0.667,0.667,all the notification setting|device|notification,morning notification|notification setting|remove app
84865,5,3,1,0.2,0.333,0.25,0.6,0.667,0.632,business|customer support number|sign in|support|two fail,app functionality|customer support|sign in
85082,5,2,2,0.4,1.0,0.571,0.8,1.0,0.889,ad|advertisement|battery|battery performance|performance,advertisement|battery performance
85542,7,5,1,0.143,0.2,0.167,0.571,0.8,0.667,ass|good deal|major pain|one thing|post|problem|stuff,buy stuff|constant problems|good deal|post something|sell
85752,4,1,1,0.25,1.0,0.4,0.5,1.0,0.667,ad|ads|app> up ads|ui,ads
85769,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,phone,phone|remove
85998,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,magic effect|option,magic effect|option
86655,7,2,1,0.143,0.5,0.222,0.429,1.0,0.6,any way|best edit|edit|export|five star|process|speed,export process|speed
88078,2,2,0,0.0,0.0,0,0.0,0.0,0,ad|ui,easy to use|quick upload
88137,10,5,1,0.1,0.2,0.133,0.4,0.4,0.4,alternative|data|device|follow|long time malware|malware|malware notification|notification|samsung note|use,alternative app|dark mode|malware|search bar|smart manager
89251,5,4,3,0.6,0.75,0.667,1.0,0.75,0.857,feature|gallery|gd feature|pay subscription|subscription,gallery|gd feature|pay subscription|saving video
89485,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,zenfone,intel|zenfone
90097,8,4,0,0.0,0.0,0,0.625,0.5,0.556,ad|article|fee|feed|htc one use blinkfeed|link|news republic's home page|throat,blinkfeed|dark mode|news republic|search bar
91116,4,4,0,0.0,0.0,0,0.25,0.25,0.25,help|higher level|picture|some tool,dark mode|search bar|settings|tool
91386,9,6,0,0.0,0.0,0,0.333,0.333,0.333,awesome feature|edit|fact|feature|gallery|people|photo|post|realistic editor,dark mode|editor|privacy options|publicly posting|saving privately|search bar
91785,2,3,0,0.0,0.0,0,0.5,0.333,0.4,home screen|screen,apps|hide|homescreen
92917,4,3,1,0.25,0.333,0.286,0.75,0.667,0.706,black screen|bloat piece|crap|screen,black screen|bloat|uninstall
92988,6,2,0,0.0,0.0,0,0.167,0.5,0.25,ad|all notification|all notification message|all stuff|message|notification,notifications|switch off
93140,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,ad|ads|too much ads,ads
93932,3,2,2,0.667,1.0,0.8,1.0,1.0,1.0,phone|phone boost|speed,phone boost|speed
94055,2,2,0,0.0,0.0,0,0.0,0.0,0,ad|too much ad,ads|app speed
95162,15,7,2,0.133,0.286,0.182,0.333,0.714,0.455,arrow|background|current 2nd choice|customisations|data|default|developer comment|development|memory|need|not use|some good animation|some ms service|time|various card,animation|card|customisations|dark mode|data usage|memory|search bar
95261,7,6,3,0.429,0.5,0.462,0.714,0.667,0.69,ad|all the tool|beginner|bite confuse|execution|other thing|tool,beginner|complexity|confusion|execution|tool|use
95295,8,3,2,0.25,0.667,0.364,0.75,1.0,0.857,application|application i|cab|location|location map|map|notification|update,cab|location map|update notification
95592,12,3,3,0.25,1.0,0.4,0.333,1.0,0.5,feed|interface|nicely present app|pleasant enough interface|previous version|shift|social aspect|social network|some people|source|ton|version,interface|social aspect|source
95880,1,1,0,0.0,0.0,0,0.0,0.0,0,ad,download limit
96110,4,3,2,0.5,0.667,0.571,0.5,0.667,0.571,alcatel pixi|camera|digit|show,alcatel pixi|brightness|camera
96451,8,6,2,0.25,0.333,0.286,0.75,0.5,0.6,any file|any other laptop|desktop|laptop|last <digit> update|manager|uc browser file|update,dark mode|file|laptop|search bar|settings|update
96753,10,7,4,0.4,0.571,0.471,0.7,0.571,0.629,alot|d update|internet|last update|mesage|message|samsug edge update version|update|version|voice,disconnected|internet|message|spend|update|voice|worth
97600,3,2,2,0.667,1.0,0.8,0.667,1.0,0.8,fix|problem|rat,fix|problem
97866,1,3,0,0.0,0.0,0,0.0,0.0,0,finger print,fingerprint support|samsung j1|samsung j2
98810,22,4,3,0.136,0.75,0.231,0.364,1.0,0.533,ad|add|advertisement|annoy|app lock feature|area|bottom|button|code|design|devise|feature|lock screen|more advertisement|power button|procedure|screen|screen designate|some other app|tap|time|you tube,advertisement|app lock feature|code entry|screen
99212,3,1,1,0.333,1.0,0.5,1.0,1.0,1.0,help|help photo|photo,help photo
100019,8,4,3,0.375,0.75,0.5,0.5,0.75,0.6,ad|digit> star|download problem|news section|previous version|update|update problem|version,download problem|news section|previous version|star rating
100107,2,7,0,0.0,0.0,0,0.5,0.143,0.222,ad|edit,artistic gt|dark mode|editing|fattal digit|fx gt|search bar|settings
100169,18,7,3,0.167,0.429,0.24,0.222,0.429,0.293,account|app> map|approximately <digit> year|better job|follow|history|last review|map|new phone|phone|phone number|rare occasion|rat|rout|route information|tab|traffic|way,dark mode|favorite|history|map|search bar|settings|traffic
100548,5,1,0,0.0,0.0,0,0.4,1.0,0.571,ad|boo|game|speed|work,game speed
100885,2,1,0,0.0,0.0,0,0.5,1.0,0.667,application|ride,ride booking
101168,2,2,0,0.0,0.0,0,0.5,0.5,0.5,start|trip,eta estimation|trip duration
101303,2,4,0,0.0,0.0,0,0.5,0.25,0.333,default|phone,dark mode|default <app>|search bar|settings
101712,2,2,1,0.5,0.5,0.5,1.0,1.0,1.0,login|password,login|password recovery
101787,13,7,2,0.154,0.286,0.2,0.308,0.286,0.296,any internet|country|gps|gps location|its nice|location|map|no location|no opning|open app dosent|quick responce|ui|user,dark mode|internet connection|location|map|quick response|search bar|settings
102044,11,3,1,0.091,0.333,0.143,0.182,0.333,0.235,ancient software guy|any problem|back then flipboards|different story|digit|immaculate widget|news republic|other news|phone|smartphone|widget,dark mode|search bar|widget
102248,16,6,3,0.188,0.5,0.273,0.312,0.667,0.426,all notification and news source|complete trash|data|horrendous app|latest click bait|latest update|news|noise|nonsense|notification|people|phone|ride|space|update|worthless usage,dark mode|data|notification|search bar|space|updates
103007,6,2,0,0.0,0.0,0,0.0,0.0,0,ad|digit|help|instal error code|new phone|phone,app|download
103161,2,2,0,0.0,0.0,0,0.5,0.5,0.5,language|more option,font options|language options
103648,4,2,2,0.5,1.0,0.667,1.0,1.0,1.0,crash|new version|new version crash|version,crash|new version
103773,2,2,0,0.0,0.0,0,0.5,1.0,0.667,no reason|pop up problem,pop up|problem
103986,4,3,1,0.25,0.333,0.286,0.75,0.667,0.706,malware|notification|push notification|update,automatic installation|malware|push notifications
105024,6,4,1,0.167,0.25,0.2,0.333,0.25,0.286,help|home screen|icon|only option|problem|screen,hide|home screen|long press|remove app
105041,4,3,0,0.0,0.0,0,0.75,0.667,0.706,automatically crop face|awesome app|photo|photo crop option,auto crop|face|photo crop
105105,3,4,0,0.0,0.0,0,0.333,0.25,0.286,extra space|phone|random result,reliability|results|song lookup|space
105374,6,4,2,0.333,0.5,0.4,0.5,0.75,0.6,ad|ads|apps|lag|lot|screen,ads|app opening|lag|screen lock
105442,8,5,1,0.125,0.2,0.154,0.375,0.6,0.462,driver|latest update|little lazy imo|lyft do|post|ride|text|update,dark mode|driver pull up notification|post|ride cancellation|search bar
105456,9,8,4,0.444,0.5,0.471,0.556,0.625,0.588,camera|effect|embellishment|filter|fool|good ring|name|panorama picture|picture,animal ear|camera|dark mode|effect|embellishment|filter|panorama|search bar
105511,4,3,2,0.5,0.667,0.571,0.75,0.667,0.706,cutout|update|update version|version,<app>|cutout|update
105612,2,5,0,0.0,0.0,0,0.0,0.0,0,day|so f king,battery|dark mode|loading speed|search bar|settings
105846,22,4,0,0.0,0.0,0,0.227,1.0,0.37,ad|arrival|digit|estimate time|estimate time traffic problem|feature|great potential|home|hour journey|limit|long time customer|many feature|map|pity|premium|premium world|problem|rout|slightly different route|speed|traffic|upgrade,map movement|route suggestions|speed limits|traffic updates
106983,1,1,0,0.0,0.0,0,0.0,0.0,0,very high rat,response speed
106995,9,2,0,0.0,0.0,0,0.0,0.0,0,ad|crash|crazy app|crazy massage|danger|guy|instruction|message|phone,dark mode|search bar
107677,10,4,1,0.1,0.25,0.143,0.2,0.25,0.222,ad|ads|as much power|charge phone|charger|full page ads|horrible system|phone|phone display|post,ads|charging|display off|power consumption
107744,1,1,0,0.0,0.0,0,1.0,1.0,1.0,inequality,solve inequality
108593,8,3,3,0.375,1.0,0.545,0.375,1.0,0.545,best tnx|fix|help|helpful app guy|location|problem|reply|tnx,fix|location|reply
108781,7,3,1,0.143,0.333,0.2,0.429,0.667,0.522,ad|ads|apps|auto instal|good <app|phone|too many ads,ads|auto install|pop ups
108923,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,prisma effect,prisma effect
109006,8,5,3,0.375,0.6,0.462,0.875,0.8,0.836,account|edit|link account|login|same creditcard|support|tab|user login,creditcard|link account|support|user login|usernames
109421,12,7,3,0.25,0.429,0.316,0.333,0.571,0.421,ad|blank beige screen|fix|huawei p10|info|issue|map|screen|sidebar|startup|total|update,blank screen|buggy|force stop|huawei p10|map|reboot|sidebar
109437,2,2,1,0.5,0.5,0.5,0.5,0.5,0.5,clone tool|issue,clone tool|properly
110316,4,3,1,0.25,0.333,0.286,1.0,1.0,1.0,crash|location|offline|search,crash|location search|offline functionality
110477,17,5,0,0.0,0.0,0,0.176,0.4,0.245,any solution|app> round|digit> day|email|end|help|post|proof|reality|request|review|their own reply|their user|there customer care|uber reply|usage|use,customer care|customer care service|dark mode|reply|search bar
112111,24,6,3,0.125,0.5,0.2,0.208,0.5,0.294,ad|basic uber|bill|car|complicate|driver|driver and you probably|expensive one|fifteen minute|glove|gps|impression|incorrect location|item|leave side|location|lyft|major headache|option|past few week|random goose chance|these issue|uber|while,contact|dark mode|driver|gps|incorrect location|search bar
112320,4,3,1,0.25,0.333,0.286,0.75,1.0,0.857,ad|android phone|load|phone,android|download|phone
113201,9,3,2,0.222,0.667,0.333,0.444,1.0,0.615,customer support|double check|help|new phone|password|phone|sms text|sms verification|support,customer support|password reset|sms verification
113454,8,5,3,0.375,0.6,0.462,0.625,1.0,0.769,ad|bump|light|screen|these guy|ui|very simple app|web,ad|light|screen on|simple app|web
113527,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,filter|some filter miss|update,filter
113625,16,3,0,0.0,0.0,0,0.062,0.333,0.105,ad|blackberry|constant <app> notification|dev team|its constant notification|message|motion|nearly a decade|new phone|notification|one thing|phone|priv|release|screen|very trouble,constant notifications|dark mode|search bar
114289,7,3,1,0.143,0.333,0.2,0.571,1.0,0.727,ad|background|no watermark|only thing|option|text|text tool,background around text|text tool|watermark
114638,10,4,4,0.4,1.0,0.571,0.6,1.0,0.75,age|any problem|buffer|filter|latest update|nd you want to filter then that|past|search|trouble|update,buffer|filter|latest update|search
115248,8,5,3,0.375,0.6,0.462,0.625,0.6,0.612,ad|ad blocker|ads|beep sound|phone|phone vibrate|sound|very bad ads,ad blocker|ads|automatic pop up|beep sound|vibration
115328,1,3,0,0.0,0.0,0,0.0,0.0,0,front,convenience|dark mode|search bar
115918,1,2,0,0.0,0.0,0,0.0,0.0,0,freeze,freezing|functionality
115929,7,3,1,0.143,0.333,0.2,0.429,1.0,0.6,ad|edit|idea|photo|picture|please pic art|real photo,edit photo|real photo|save photo
116147,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,battery|battery saver|its good,battery saver
116671,6,2,0,0.0,0.0,0,0.667,1.0,0.8,ad|add free version|edit|photo|rest|version,free version|photo editor
117168,8,4,2,0.25,0.5,0.333,0.75,1.0,0.857,incoming message|latest update|message|no sound notification|notification|popup|sound|update,incoming message|notifications|popup|sound notification
117835,3,7,1,0.333,0.143,0.2,0.667,0.143,0.235,home screen|most annoy thing|screen,break|dark mode|home screen|instantly|pay now|search bar|settings
117881,10,7,3,0.3,0.429,0.353,0.8,0.857,0.828,access|ad|contact|edit|favor|identity|last update|less intrusive edit app|location|update,access to contacts|edit app|identity|last update|less intrusive|location|uninstall
118334,10,4,0,0.0,0.0,0,0.2,0.5,0.286,act|but this last update|chrome|crash|different app|feed|sometimes its open duplicate tab|tab|uc browser|update,browser crash|dark mode|duplicate tabs|search bar
118373,3,1,0,0.0,0.0,0,0.333,1.0,0.5,filter|magic|more cool filter,filters
118767,8,4,1,0.125,0.25,0.167,0.5,0.75,0.6,credit card|credit card information|edit|fix|flag|lag|ride|service,accept|credit card information|credit card invalid|request a ride
119795,6,3,0,0.0,0.0,0,0.167,0.667,0.267,ad|digit|ita|load|way|yesterday,download time|internet speed|load speed
120587,12,3,3,0.25,1.0,0.4,0.417,1.0,0.588,ad|ads|drive|full screen ads|good app|gps|last <app> update|no gps|screen|tab|update|use,ads|full screen ads|gps
120829,2,1,0,0.0,0.0,0,0.0,0.0,0,dact|dact it,focus
120922,1,1,0,0.0,0.0,0,0.0,0.0,0,ad,download
121455,1,2,1,1.0,0.5,0.667,1.0,0.5,0.667,rate,ask|rate
121525,3,4,1,0.333,0.25,0.286,0.667,0.5,0.571,celebrity voice|friend|point,celebrity voice|count point|functionality|settings
121538,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,ad|new payment card|payment,new payment card
122749,5,3,0,0.0,0.0,0,0.4,0.333,0.364,ad|any song|mobile|user> good app|user> song,dark mode|search bar|song
122966,7,4,1,0.143,0.25,0.182,0.286,0.5,0.364,every time|help|home botton ommy iphone|ly|music|phone|screen,keep showing|musical . ly|press home button|screen
124138,10,5,2,0.2,0.4,0.267,0.5,0.6,0.545,ad|crap|latest update|lock screen|news republic|permission|phone|screen|thumb|update,dark mode|lock screen|permissions|search bar|update
124986,4,4,1,0.25,0.25,0.25,0.75,0.75,0.75,destination|huawei|no confirmation|ride,app functionality|destination input|huawei|ride request
125679,2,1,1,0.5,1.0,0.667,1.0,1.0,1.0,internet speed booster|speed,internet speed booster
125791,7,6,1,0.143,0.167,0.154,0.429,0.5,0.462,edit|gallery|lil blur|only thing|photo|pic|size,dark mode|gallery|photo blur|photo size|search bar|zoom
126226,15,5,1,0.067,0.2,0.1,0.2,0.4,0.267,city|deivers|driver|give location|hell|location|one more thing|passenger|person|pessangers|rout|route|total injustice|trip|unprofessional behaviour,behaviour|communication|extra fair|inform|route
126230,2,2,1,0.5,0.5,0.5,1.0,0.5,0.667,latest version|version,good|version
126592,10,3,1,0.1,0.333,0.154,0.4,1.0,0.571,ad|any video|due copyright|new version|notice|problem|promblems|upgrade|version|video,copyright notice|download video|new version
127722,16,8,4,0.25,0.5,0.333,0.375,0.625,0.469,ad|bad idea|divisiveness|echo chamber|feed|hatred|home screen|opinion|our country|people|phone|screen|swipe|their own newsfeeds|ui|viewpoint,curate|echo chamber|newsfeed|opinion|permanent app|swipe|uninstall|viewpoint
128497,12,7,2,0.167,0.286,0.211,0.333,0.286,0.308,chrome|clear cache|cooky|even after update it still|network|other browser|other hand|other hand uc browser|phone|uc browser|update|work,battery|dark mode|loading speed|network|search bar|settings|uc browser
129016,9,9,2,0.222,0.222,0.222,0.667,0.556,0.606,all sex relate|couple|message|message and call purpose|naked photo|people|photo|random people|use,annoy|call|dark mode|message|naked photos|random people|search bar|settings|sex related messages
129342,15,4,3,0.2,0.75,0.316,0.267,0.75,0.393,ad|every new release|feature|gps|navigation|only nice new feature|premium|premium feature|problem|real view navigation|road|search|tab|ui|update,advertisement|navigation|search|update
129687,15,9,4,0.267,0.444,0.333,0.533,0.667,0.593,ad|ads|apps|developer|each update|feature|file manager|more bloat|new file manager|notification|phone|plain file manager|rapid charge|support|update,ads|bloat|dark mode|file manager|notification|rapid charge|search bar|settings|uninstall apps
131176,4,5,0,0.0,0.0,0,0.5,0.4,0.444,any message|call|message|prog,calls|enter app|logout|messages|reachability
131672,3,1,0,0.0,0.0,0,0.667,1.0,0.8,ad|video|video show,video show add on
131673,14,5,0,0.0,0.0,0,0.143,0.6,0.231,> messenger|ad|call|colleague|constantia guest house|edit|he service|interface|mistake|no option|our mistake|pizza hut shop mall|rat|star,dark mode|messenger integration|rat submission|search bar|user interface
132074,2,1,0,0.0,0.0,0,0.5,1.0,0.667,any image|image,image visibility
132403,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,watermark,watermark
132410,8,3,0,0.0,0.0,0,0.25,0.333,0.286,ad|battery|battery charge protector thing|crap|latest update|phone|spam free app|update,battery charge protector|pop up|spare app
132911,12,5,2,0.167,0.4,0.235,0.5,0.6,0.545,ad|ads|annoy ads|digit> buck|direction|good hardware|nexus|older hardware|other hand|performance|same hardware|tab,ads|hardware|performance|responsiveness|speed
133086,9,3,1,0.111,0.333,0.167,0.222,0.333,0.267,ad|add|ads|all the <app> up ads|new phone|phone|phone call|virus|way,ads|dark mode|search bar
133393,4,3,2,0.5,0.667,0.571,0.75,1.0,0.857,bicycle|no option|pedestrian|route,bicycle|pedestrian|route navigation
133573,3,2,2,0.667,1.0,0.8,0.667,1.0,0.8,ad|crash|download,crash|download
133635,2,1,1,0.5,1.0,0.667,0.5,1.0,0.667,crash|p10,crash
133650,1,3,1,1.0,0.333,0.5,1.0,0.333,0.5,error,book|error|settings
133677,3,2,1,0.333,0.5,0.4,0.333,0.5,0.4,digit> year|use|watermark,uninstall|watermark
133856,2,4,2,1.0,0.5,0.667,1.0,0.5,0.667,save|video,export|save|share|video
134615,14,10,3,0.214,0.3,0.25,0.5,0.7,0.583,ad|anton font|custom|edit|font one thing|grid|it's dimension asper|pg team|pic|reply|review|size|sticker|user,anton font|crop|custom add pic|dark mode|dimension|edit pic|grid|picsart|search bar|sticker
135334,9,6,3,0.333,0.5,0.4,0.556,0.667,0.606,charger|digit> star|display screen notification|notification|screen|sound|these annoy alert|way|what a shame,charger|dark mode|notification|search bar|sound|star
135776,3,2,0,0.0,0.0,0,0.333,0.5,0.4,incoming call lock option|nice work|very good work,easy to use|incoming call lock
136366,20,6,3,0.15,0.5,0.231,0.3,1.0,0.462,ai format|best edit|but now no option|button|edit|format jpg png|help|image|issue|jpg format|more format|old vision|only auto save|option|png format pic art save|press save button|prob|save format|save image|sugestion,ai format|auto save|image format|jpg format|png format|save format
136754,2,3,0,0.0,0.0,0,0.0,0.0,0,acct wth|freeze,dark mode|search bar|settings
136863,2,3,1,0.5,0.333,0.4,1.0,0.667,0.8,fee|trash clog,clog|fee|shut off
137033,7,4,4,0.571,1.0,0.727,0.571,1.0,0.727,ad|another ride|destination|extra money|extra time|system|wrong address,destination|extra money|extra time|wrong address
137361,3,1,0,0.0,0.0,0,0.667,1.0,0.8,register|registration|registration page,close registration page
137407,12,4,1,0.083,0.25,0.125,0.167,0.25,0.2,ad|ads|care|edit|even more ads|five star|guy|incredibly displease|one star|opinion|these issue|two star,ads|dark mode|rating request|search bar
137727,11,4,1,0.091,0.25,0.133,0.364,0.5,0.421,change|edit|issue|it's intend purpose|oreo update|set|source|source of the|ui|update|wallpaper,automatic wallpaper change|dark mode|oreo update|search bar
138968,9,3,0,0.0,0.0,0,0.222,0.333,0.267,ad|album|and so many sticker|any video|new change video background|one suggestion|very nice app picsart|video|wold,dark mode|search bar|video background
139447,7,4,3,0.429,0.75,0.545,0.857,1.0,0.923,4g|ad|effect|new update|new update i|update|wifi,4g|download effect|new update|wifi
139656,11,4,2,0.182,0.5,0.267,0.273,0.75,0.4,account|app> phone number|atleast|help|login|no option|own uber account|password|phone|same number|some problem,delete account|login|otp|password
140139,9,5,4,0.444,0.8,0.571,0.667,0.8,0.727,ad|awesome interface|edit|feature|interface|presentation|some feature|sound|video,fade|feature|interface|presentation|sound
140457,9,4,1,0.111,0.25,0.154,0.111,0.25,0.154,freak virus|game|money|our phone|phone|these people|very disappoint|whole entire phone|wow guy,dark mode|game|search bar|uninstall
140495,11,5,2,0.182,0.4,0.25,0.364,0.6,0.453,another launcher|craziness|edit|launcher|new phone hop|one|phone|sleep|some time|time|wallpaper,dark mode|launcher|search bar|sleep mode|wallpaper
140891,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,blank page,blank page
141040,3,6,3,1.0,0.5,0.667,1.0,0.5,0.667,favourite news source|hindu|interface,bbc|cnn|favourite news source|hindu|interface|toi
142452,5,3,2,0.4,0.667,0.5,0.8,1.0,0.889,ad|advertisement|annoy advertise|feature|other feature,advertisement|annoy|feature
142458,10,5,3,0.3,0.6,0.4,0.5,0.8,0.615,ad|ads|apps|attention|especially these one|g0t2h4ve1t69 gmail|internet session|phone|their app|tire,ads|app|attention|infect|internet session
142492,6,1,1,0.167,1.0,0.286,0.5,1.0,0.667,ad|download|speed|surf|wifi|wifi speed,wifi speed
142861,7,3,2,0.286,0.667,0.4,0.571,0.667,0.615,ad|ads|job|one|pro version|version|way too many ads,ads|pro version|uninstall
143167,2,2,0,0.0,0.0,0,0.0,0.0,0,inform|way,improve performance|more features
143213,16,5,3,0.188,0.6,0.286,0.25,0.6,0.353,cancellation|cancellation amount|charge|charge rs|driver|help|location|one|past|prime example|receipt|ride|several problem|start|tax|uber,cancellation|dark mode|receipt|search bar|tax
143480,2,1,0,0.0,0.0,0,0.0,0.0,0,guy|update,flash
144041,1,2,0,0.0,0.0,0,1.0,0.5,0.667,phone,app|phone speed
144292,14,5,1,0.071,0.2,0.105,0.429,0.8,0.558,ad|drivel|eye|interest|interface|large fullscreen <app|less information|multiple mini panel|new article|one article|revamp interface|screen|user|user> different news fee app,fullscreen|information|interface|mini panels|news fee app
144459,8,4,1,0.125,0.25,0.167,0.25,0.5,0.333,case|device|different device|different place|last year|password|service|time,dark mode|password change|search bar|service
144556,17,7,1,0.059,0.143,0.083,0.412,0.714,0.522,ad|any issue|app message|cab|chat|chat option|concern|customer|executive|help|issue|message|no altetnative|pre type message|support|their help option|uber support team,cab service|call support|chat option|dark mode|help option|search bar|uber support
145496,10,5,2,0.2,0.4,0.267,0.3,0.6,0.4,ad|app> people|choice|community|enough social medium community|filter|instagram|picture|so nice app|way,community|dark mode|instagram|search bar|social medium
146298,12,5,1,0.083,0.2,0.118,0.25,0.4,0.308,bid|latest update|moment|no use|other list|random lot|repair|ruin|time|ui|update|which item,bid viewing|dark mode|random selection|search bar|update
146339,8,3,1,0.125,0.333,0.182,0.125,0.333,0.182,ad|all our server|all time|any style|bite|magic mode|problem|rainbow galaxy badlands,disgust|magic mode|server busy
146923,1,1,0,0.0,0.0,0,0.0,0.0,0,two my <app,vr functionality
147044,7,4,3,0.429,0.75,0.545,1.0,1.0,1.0,car use|offline|post|postcode search|search|terrible version|version,car use|offline functionality|postcode search|version
147255,14,5,1,0.071,0.2,0.105,0.429,1.0,0.6,ad|already a good call screen app|cm's anti virus checker|credit|download|edit|internet|kind|phone|phone call|risk|screen|strong arm advertise|whatscall app,anti virus checker|call screen app|force download|internet calling|whatscall app
147377,7,9,2,0.286,0.222,0.25,0.714,0.667,0.69,ad|creation|every update|new page|phone|phone create folder|update,ask|change|create|folder|new|page|phone|update|worse
147937,5,3,2,0.4,0.667,0.5,0.8,1.0,0.889,its menu bar|keyboard|menu|space bar|update,keyboard|menu bar|space bar
148284,4,4,0,0.0,0.0,0,0.25,0.25,0.25,amazon|limit variety|only reason|some people,cheap|month|search bar|variety
148659,2,2,0,0.0,0.0,0,0.0,0.0,0,everytime|nocitafcatuons,new messages|notifications
148979,1,1,0,0.0,0.0,0,1.0,1.0,1.0,device,device speed
149091,1,3,0,0.0,0.0,0,1.0,1.0,1.0,fingerprint lock unlock apps,apps|fingerprint lock|unlock
149356,5,3,1,0.2,0.333,0.25,0.2,0.333,0.25,anti virus|digit|low score|phone|reason,anti virus|booster|speed
149717,4,2,0,0.0,0.0,0,0.0,0.0,0,new version|new version form|version|watch,<app>|stop start
149957,9,5,0,0.0,0.0,0,0.444,0.4,0.421,ad|app user|download map|maharashtra offline map|map|offline|same download map screen|screen|very bad customer experience,customer experience|dark mode|loading|offline map|search bar
150370,8,4,1,0.125,0.25,0.167,0.25,0.5,0.333,dp|edit|last update|no problem|pattern sticker|pic art|those free font|update,dark mode|font|pattern sticker|search bar
150414,11,4,2,0.182,0.5,0.267,0.273,0.75,0.4,all the time|always clean drop temperature|battery|fake stuff|heat|junk file battery|one gig|one second|phone|second check|time,battery|heat|junk file|task
150922,12,4,1,0.083,0.25,0.125,0.333,0.75,0.462,ad|another payment method|error|help|latest update break integration|message|no help|payment|payment method|paytm|problem|update,error message|integration|paytm|switch
152871,6,4,2,0.333,0.5,0.4,0.333,0.5,0.4,ad|extra unnecessary step|just an irritation|save option|such a pity|update,privacy|save option|sharing|update
